OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Area_km2,Area_km2geodesic
259,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,1114.970995,0.012042495,0.012052038
260,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,1114.970995,0.012042495,0.012052038
261,Cx,40,0,HADNTS3160726,Y,19759.42525,193.5106043,0.001048221,0.001049037
262,Cx,41,0,S2UPTS4160617,Y,21949.53018,193.5106043,0.001048221,0.001049037
263,Cx,43,0,S2DNTS5160617,Y,24551.93494,193.5106043,0.001048221,0.001049037
264,Cx,44,0,S3UPTS6160730,Y,25887.85677,193.5106043,0.001048221,0.001049037
265,Cx,46,0,S3DNTS7160730,Y,39206.58459,193.5106043,0.001048221,0.001049037
266,MpMbMpv,54,0,siteDC-4,Y,127713.0386,39146.31584,18.6515471,18.66661395
267,MpMbMpv,56,0,SC-8B,Y,237453.753,39146.31584,18.6515471,18.66661395
268,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,39146.31584,18.6515471,18.66661395
269,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,39146.31584,18.6515471,18.66661395
270,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,39146.31584,18.6515471,18.66661395
271,Cx,54,0,siteDC-4,Y,127713.0386,57378.97403,16.3491154,16.36247283
272,Cx,56,0,SC-8B,Y,237453.753,57378.97403,16.3491154,16.36247283
273,Cx,58,0,siteSC-9A,Y,258694.6456,57378.97403,16.3491154,16.36247283
274,Cx,59,0,siteSCoutlet170710,Y,263523.1099,57378.97403,16.3491154,16.36247283
275,Cx,60,0,siteSCoutlet170807,Y,267972.9067,57378.97403,16.3491154,16.36247283
276,Cx,54,0,siteDC-4,Y,127713.0386,618.6180304,0.002658604,0.002659318
277,Cx,56,0,SC-8B,Y,237453.753,618.6180304,0.002658604,0.002659318
278,Cx,58,0,siteSC-9A,Y,258694.6456,618.6180304,0.002658604,0.002659318
279,Cx,59,0,siteSCoutlet170710,Y,263523.1099,618.6180304,0.002658604,0.002659318
280,Cx,60,0,siteSCoutlet170807,Y,267972.9067,618.6180304,0.002658604,0.002659318
